ParticleType,Energy
3pi-,81.4866
4pi-,80.8081
3mu+,84.1927
3mu-,46.6511
3mu+,55.2449
3pi-,176.209
4mu-,143.779
3pi+,1093.1
3mu+,200.615
3pi+,605.016
3mu+,84.3128
4mu+,83.1246
3pi-,186.3
3pi+,215.456
4pi+,215.073
3pi+,301.82
3pi-,925.866
3mu-,159.176
3pi+,302.802
3pi-,21.1552
4pi-,19.2699
3pi+,783.278
4pi+,782.835
2pi+,782.444
3pi-,249.908
4pi-,249.517
2pi-,249.083
4pi+,803.113
3mu+,122.871
4mu+,122.434
3pi-,79.0718
3mu-,346.288
4mu-,345.932
3mu+,179.919
3pi+,86.0329
4pi+,85.537
3pi+,172.345
4pi+,171.918
3pi+,370.616
4pi+,370.243
3mu-,229.15
3pi+,334.529
3mu+,100.192
4mu+,99.3903
3pi+,439.581
4pi+,438.749
3pi-,28.6931
4mu-,27.479
3pi+,593.923
4pi+,593.653
2pi+,593.131
3pi-,271.502
3pi-,1018.7
4pi-,1018.4
2pi-,1017.98
3pi-,1237.77
3pi+,663.982
4pi+,663.641
3mu-,322.092
4mu-,321.367
3mu-,145.044
3mu-,20.0108
4mu-,17.8519
3mu+,216.954
3pi-,294.642
3pi+,238.82
4pi+,238.361
3mu-,25.5091
3pi-,272.49
4pi-,272.094
3pi+,288.415
4pi+,287.905
3pi+,61.2149
4pi+,60.3434
3mu-,145.366
4mu-,145.008
3pi+,248.22
4pi+,247.744
3pi+,660.623
3pi+,23.1863
4pi+,21.1151
3pi-,317.906
3pi-,108.619
4pi-,108.128
3mu-,264.368
4mu-,264.046
3mu-,181.732
3pi+,236.917
4pi+,236.55
3pi+,127.923
4mu+,146.767
3pi-,252.772
4pi-,252.43
3pi+,171.112
4pi+,170.765
3mu+,159.39
4mu+,158.943
3mu-,66.9835
3mu+,68.8735
4mu+,68.2916
3mu+,142.047
3mu-,137.07
3mu+,63.7941
3mu+,92.5197
3pi+,152.931
4pi+,152.532
3pi-,206.979
4pi-,206.459
3pi-,161.312
4mu-,101.249
3pi+,77.9064
4pi+,77.3653
3pi-,246.96
3pi+,541.469
4pi+,541.112
3pi+,518.063
4mu+,521.332
3pi-,197.279
3pi-,299.071
4pi-,298.739
2mu-,226.45
3mu-,78.2805
4mu-,77.026
3pi-,416.064
3pi+,187.949
3pi-,431.878
4pi-,431.529
2pi-,430.875
3pi-,200.061
4pi-,199.512
3mu+,212.726
3pi+,389.514
4pi+,389.225
2pi+,388.81
3mu-,110.637
4mu-,109.855
3pi-,137.364
4pi-,136.786
3mu+,71.7433
4mu+,70.8285
3pi+,83.5515
3pi+,515.314
4pi+,514.896
2pi+,514.447
3mu-,88.836
4mu-,88.1828
3pi+,64.6586
4mu+,52.0784
3pi-,98.5898
4mu-,116.625
3mu+,34.015
3mu+,49.9258
3pi-,89.0225
3mu-,79.6815
