ParticleType,Energy
mu-,249.719
2mu-,248.6
3mu-,149.246
mu-,292.627
2mu-,174.304
3mu-,161.948
3pi+,709.428
3pi-,257.274
pi-,1610.72
pi+,229.424
pi-,295.873
2pi-,294.647
3pi-,293.489
pi-,2278.01
2mu-,1655.23
3mu-,1653.52
2pi+,571.452
3mu+,205.45
pi+,1212.7
pi+,728.616
2pi+,161.207
2mu-,82.3161
3mu-,68.2214
pi+,26.2325
2mu+,12.4712
3mu+,5.45804
pi+,637.507
3mu+,58.599
mu-,281.675
2mu-,249.009
3mu-,119.047
mu+,530.421
2mu+,529.14
3mu+,467.109
pi+,680.623
2pi+,679.339
3pi+,677.956
pi+,455.483
3mu+,158.611
pi-,1063.34
2pi-,500.931
pi+,434.844
2mu+,432.951
3mu+,389.167
pi+,102.715
mu-,382.548
2mu-,292.158
3mu-,199.384
pi+,2454.34
pi-,1201.38
2pi-,1148.19
pi+,428.725
2pi+,427.681
2pi+,558.267
2pi-,407
pi-,344.254
pi-,319.594
mu+,160.436
2mu+,156.749
3mu+,129.808
pi+,256.983
2pi+,255.64
3pi+,195.799
pi+,403.485
3mu+,77.1875
pi-,1801.56
pi-,1081.9
2mu-,762.866
3mu-,658.305
mu+,1431.05
3mu+,1152.54
pi-,528.264
2pi-,527.032
3pi-,524.167
pi+,675.191
2mu+,621.104
3mu+,513.861
pi-,358.917
2pi-,58.6904
pi+,721.54
2pi+,696.431
3pi+,597.959
pi+,239.506
pi+,136.933
pi+,55.5299
pi-,117.973
pi-,157.029
pi+,599.339
2pi+,503.057
pi+,632.541
2pi+,631.284
3mu+,328.189
3mu-,42.683
pi-,77.7578
2pi-,75.7833
3pi-,73.9044
3mu-,149.37
pi+,1176.64
2pi+,1064.61
pi-,71.8475
mu-,225.72
2mu-,161.401
pi+,552.956
pi+,1138.87
2pi+,1137.44
3pi+,1135.7
pi+,809.423
pi-,453.415
2pi-,452.234
3mu-,348.444
mu+,13.1752
2mu+,7.57621
pi-,562.634
2pi-,483.325
pi-,1422.41
2mu-,11.0576
3mu-,3.51103
mu-,169.266
pi+,546.745
2pi+,428.426
pi-,900.307
2pi-,895.761
3pi-,833.178
pi+,1289.67
pi+,1322.84
pi-,230.903
2pi-,229.532
mu+,111.642
pi-,406.335
pi-,793.187
2pi-,791.784
3pi-,671.539
2mu+,491.917
pi+,390.12
2pi+,388.908
pi+,819.851
2pi+,818.125
3pi+,816.931
2pi+,829.71
pi+,4322.24
pi+,238.996
2pi+,237.835
3mu+,145.482
pi+,365.633
pi-,769.274
3pi-,551.071
pi-,650.019
pi+,839.581
pi+,609.049
2pi+,514.774
mu+,379.215
2mu+,378.14
3mu+,304.359
mu+,314.29
2mu+,301.741
3mu+,232.038
3pi-,1060.92
2pi+,455.124
2pi-,162.992
pi-,418.865
mu+,29.8535
pi-,1870.3
pi+,909.921
2pi+,908.729
3mu+,789.825
pi-,1578.23
pi-,198.42
2pi-,197.083
3pi-,195.777
pi-,460.227
mu+,199.457
2mu+,198.27
3mu+,99.1674
pi+,838.231
3mu+,331.478
pi+,1311.44
pi+,513.434
2pi+,512.227
mu-,575.546
2mu-,506.14
mu+,22.2132
pi+,773.618
3mu+,109.991
mu+,285.573
2mu+,198.476
3mu+,131.021
pi+,477.654
pi+,174.602
2pi+,173.024
3mu+,180.506
pi+,712.576
2mu+,609.916
3mu+,546.349
mu-,106.926
mu-,1004.34
3mu-,668.984
pi+,1331.7
pi-,574.333
pi+,205.681
2mu+,186.183
3mu+,151.686
mu+,795.337
pi+,665.207
2pi+,664.134
pi-,733.27
2pi-,699.918
pi-,166.342
pi+,995.377
2pi+,371.956
pi+,267.012
2pi+,265.75
pi-,589.605
2pi-,588.283
3pi-,370.603
pi-,794.135
2pi-,771.713
mu-,252.016
2mu-,250.694
3mu-,218.597
pi+,723.557
2pi+,703.278
2mu-,111.443
3mu-,56.7485
pi+,1195.5
2pi+,1193.82
3pi+,1192.38
pi-,94.3825
2mu+,87.3466
2pi-,366.02
pi+,850.835
2pi+,849.62
pi+,651.77
mu+,207.199
2mu+,177.964
pi+,161.386
2mu+,147.204
3mu+,93.4658
pi-,774.318
2pi-,773.081
pi-,375.206
3mu-,50.1423
pi+,250.804
pi-,1253.52
pi+,779.306
2pi+,778.046
3mu+,789.595
mu-,121.066
2mu-,119.768
3mu-,95.1124
pi-,130.069
2mu-,58.7938
3mu-,57.0032
2mu+,154.317
pi+,118.166
pi-,392.448
pi+,613.558
2pi+,612.303
3pi+,517.948
pi-,696.399
mu-,89.313
pi+,1105.59
2mu+,435.663
3mu+,352.618
pi-,428.709
2pi-,426.935
3pi-,393.906
pi-,37.106
mu-,490.422
2mu-,466.772
3mu-,401.947
pi+,479.158
2mu+,291.486
3mu+,195.684
pi+,659.762
mu-,185.848
pi-,536.489
2pi-,276.57
pi-,790.303
2mu-,651.376
3mu-,576.89
mu+,87.9193
pi+,984.526
mu-,62.9011
2mu-,61.1978
3mu-,59.0428
mu+,188.392
2mu+,187.231
3mu+,143.287
pi-,1510.84
2pi-,1509.64
3pi-,1508.32
mu-,76.0245
2mu-,74.5583
3mu-,59.4531
pi+,992.839
2pi+,990.564
3pi+,989.286
pi+,1186.37
2pi+,1185.09
3mu+,771.591
mu+,403.672
2mu+,402.426
3mu+,372.89
pi-,555.674
2mu-,406.591
3mu-,369.458
3mu-,112.636
pi-,57.8184
pi+,320.598
2pi+,267.89
3pi+,234.567
pi-,305.021
2pi-,313.848
pi-,586.71
2pi-,500.685
3pi-,405.854
pi-,1111.71
2pi-,1060.59
3pi-,987.556
pi-,461.866
pi+,1026.27
pi-,532.237
2pi-,521.152
3pi-,415.205
2pi+,225.178
2mu-,37.2889
pi+,254.887
2pi+,153.729
pi-,609.139
2pi-,128.446
3mu-,142.465
pi-,712.982
pi-,236.11
2pi-,234.724
3pi-,169.771
3mu+,128.435
pi-,1267.95
mu+,398.555
2mu+,397.355
3mu+,366.576
pi-,1966.97
2mu-,1954.91
3mu-,1953.6
pi+,699.405
2pi+,62.32
pi+,431.378
pi-,436.919
pi-,878.129
pi+,342.015
pi+,1449.52
pi-,985.449
2pi-,984.188
3pi-,902.009
2pi-,48.3123
3pi-,524.519
3pi+,138.39
mu+,409.563
2mu+,237.624
3mu+,236.316
pi-,1963.89
pi-,429.697
2mu-,249.151
3mu-,247.633
pi+,528.145
2pi+,526.991
3pi+,525.69
pi-,1006.15
2pi-,1005.01
3pi-,979.75
mu+,166.058
2mu+,164.786
3mu+,163.347
pi-,643.214
2pi-,642.125
3pi-,525.863
2pi-,80.9012
mu-,528.634
2mu-,526.894
3mu-,488.852
mu+,142.526
2mu+,139.529
2pi-,269.587
2pi+,347.004
3pi+,345.79
2pi-,84.8778
3pi-,1773.67
pi-,251.698
2mu-,159.219
3mu-,157.498
pi-,565.927
2mu-,498.258
3mu-,496.954
mu+,104.278
mu-,13.0578
pi-,517.704
2pi-,516.436
pi+,391.475
pi-,478.564
2pi-,477.421
3pi-,430.623
pi+,256.251
2pi+,2379.65
3mu+,1418.63
pi+,596.42
pi-,746.946
2mu-,516.147
3mu-,444.832
pi+,142.582
2pi+,140.876
3mu+,72.0179
pi-,1127.93
2pi-,1108.81
3pi-,1024.84
pi-,1517.84
pi-,456.477
2pi-,455.166
3pi-,453.891
pi-,720.484
pi+,249.725
pi-,470.469
pi-,237.053
2pi-,235.746
3mu-,159.609
pi+,361.041
3mu+,85.853
pi+,193.75
2pi-,267.169
pi-,1080.18
2pi-,1078.62
3pi-,1033.65
mu+,794.739
2mu+,716.487
3mu+,561.802
mu+,104.377
pi+,763.397
2pi+,762.085
3pi+,749.198
mu-,9.79079
mu+,198.875
2mu+,197.512
3mu+,165.754
pi+,460.724
2pi+,422.787
pi-,277.161
2pi-,275.915
3pi-,218.676
pi+,727.109
2pi+,704.34
3pi+,580.72
pi+,2092.53
2pi+,72.7099
pi+,1048.23
2pi+,1045.79
3pi+,969.063
mu+,257.542
2mu+,256.288
3mu+,255.074
pi-,114.427
2pi-,113.033
3mu-,44.5051
3pi-,233.36
3pi+,146.707
pi-,616.81
2pi-,614.786
3pi-,597.793
pi+,1784.62
mu+,43.8874
2mu+,41.8882
3mu+,39.8739
pi+,2947.22
2pi+,2946.09
3pi+,2889.94
pi+,1911.47
2pi+,1910.35
3pi+,1908.91
pi+,905.819
2mu-,41.9939
3pi-,389.38
pi+,896.992
2pi+,895.802
3pi+,894.482
mu-,301.814
2mu-,300.601
3mu-,274.63
pi-,851.117
2pi-,849.893
pi+,98.9964
2mu+,7.20185
pi+,586.666
3pi+,351.779
mu-,701.445
2mu-,700.29
3mu-,698.881
pi+,479.61
2pi+,478.302
3pi+,410.278
pi-,99.0034
pi+,484.646
pi+,1877.55
pi-,1255.86
2pi-,747.841
pi-,64.1922
2mu-,60.95
pi+,687.477
2pi+,640.387
pi+,412.417
2pi+,411.166
3pi+,390.961
2pi-,41.9747
pi+,831.402
2pi+,830.333
3pi+,828.9
pi+,426.197
2mu+,399.143
3mu+,397.774
2mu+,265.992
pi+,446.816
3mu-,86.5196
pi+,294.934
2pi+,293.333
3pi+,292.098
pi-,217.165
2pi-,105.121
pi-,723.363
pi+,170.652
2pi+,135.291
pi-,506.48
2pi-,505.322
3pi-,472.792
2mu+,168.639
3mu+,83.0773
2pi+,456.363
pi+,292.962
2mu+,195.15
3mu+,162.265
mu+,342.932
pi-,366.984
pi-,591.932
2pi-,590.677
3pi-,589.229
mu+,707.261
3mu+,460.477
pi-,802.989
2mu-,525.637
3mu-,483.041
pi+,808.297
3pi+,459.412
pi-,503.397
2pi-,466.494
3pi-,406.951
pi-,759.724
2pi-,758.271
2pi-,111.829
3pi-,110.303
pi+,855.703
2pi+,854.515
3mu+,675.247
pi-,270.291
mu-,224.334
2mu-,196.122
3mu-,149.398
pi-,876.133
2pi-,874.838
3pi-,873.716
mu+,137.629
mu+,465.563
2mu+,454.911
3mu+,394.322
3mu+,273.994
pi+,427.135
mu+,511.184
pi+,108.649
2pi-,177.515
mu-,595.233
2mu-,592.884
3mu-,591.659
mu-,415.287
2mu-,315.835
mu-,236.988
2mu-,235.803
3mu-,183.253
pi-,240.781
pi+,1993.07
pi+,808.224
pi-,1454.33
pi+,275.497
2mu-,27.9084
3mu-,24.873
pi+,177.427
pi-,1087.03
2pi-,1020.04
pi+,1148.34
2pi+,1126.59
3pi+,1050.82
pi+,86.5573
pi+,117.852
3mu+,575.579
mu-,437.912
3mu-,225.429
2pi-,491.012
pi+,1224.75
2mu+,540.326
mu-,751.773
2mu-,750.205
3mu-,749.004
2mu+,214.134
3mu+,100.133
mu-,165.574
2mu-,164.176
3mu-,117.089
pi-,184.445
