ParticleType,Energy
3mu+,36.6425
4mu+,35.4945
3mu-,45.296
4mu-,44.4542
3mu-,112.91
4mu-,112.587
3mu+,200.502
4mu+,200.138
2mu+,199.729
3pi-,124.216
3pi+,601.046
3pi-,810.675
4pi-,810.054
2pi-,809.657
3pi-,322.231
4pi-,321.913
3mu-,69.9702
4mu-,68.4149
3pi+,263.903
3mu+,166.203
3pi-,879.953
4pi-,879.666
2pi-,879.25
3pi-,252.929
4pi-,252.447
3mu-,106.704
4mu-,105.926
3pi+,763.066
4pi+,762.135
2pi+,761.708
3pi-,26.7708
4pi-,24.8228
3pi+,276.786
3mu-,128.865
4mu-,128.506
3pi+,511.287
4pi+,510.935
3pi-,161.377
4pi-,160.984
3pi+,193.477
4pi+,193.129
3pi+,183.269
3mu-,36.5294
4mu-,36.0195
3mu-,1175.95
3mu-,263.323
3mu+,199.442
3mu-,159.532
4mu-,158.993
3mu+,69.8081
3pi+,391.345
3pi+,237.504
3pi-,257.111
3pi-,386.803
4pi-,386.435
3mu+,428.152
3pi+,295.64
4pi+,294.852
3pi-,203.342
4pi-,202.998
3pi-,786.236
4pi-,785.944
3pi-,151.119
4mu-,141.57
3pi+,288.573
3mu-,36.2003
4mu-,35.214
3pi+,2237.14
4pi+,2236.86
2pi+,2236.43
3mu+,26.2054
3pi-,102.142
4pi-,101.28
3pi+,157.987
3pi-,111.648
