Detector,ParticleType,x[cm],px[MeV/c],y[cm],py[MeV/c],z[cm],pz[MeV/c],TotalEnergy[MeV]
1,pi-,-6.92267,-0.0634248,4.42023,-0.123576,450.95,2.24862,2117.65
2,pi-,18.0584,0.101481,-7.89821,0.0963541,1097.45,2.24726,2116.36
3,pi+,22.469,-0.101539,23.2871,-0.144593,1769.95,0.41558,333.086
1,pi-,-5.40464,0.0492523,-16.1333,-0.107245,450.95,0.267571,184.469
1,pi+,-17.0598,-0.0936944,7.02899,0.195597,450.95,1.07482,965.756
2,pi+,-21.5311,-0.137149,-1.65287,0.136298,1097.45,1.03393,921.504
3,pi+,27.5564,0.133452,59.4279,-0.104929,1769.95,0.912018,798.553
1,pi+,-5.21237,-0.140886,-2.56159,0.0385802,450.95,1.24551,1122.22
2,pi+,12.8759,-0.0828054,-6.20128,-0.121149,1097.45,1.24424,1121.04
3,pi+,-46.6556,-0.0280716,8.84579,0.139544,1769.95,1.17341,1050.65
1,mu-,-3.89598,0.0361828,-12.1847,-0.147388,450.95,0.267404,219.458
2,mu-,23.2354,0.0189612,-3.58116,0.0849387,1097.45,0.147236,95.3793
3,mu-,20.9329,-0.00482022,27.528,0.0534073,1769.95,0.0959342,46.7968
1,pi+,1.53571,-0.0692968,-17.25,-0.132148,450.95,0.287511,213.144
1,pi+,8.23614,0.00107698,-19.0716,-0.20417,450.95,0.622854,530.589
1,mu-,11.2209,0.0520024,-1.88634,0.0753246,450.95,0.434695,350.962
2,mu-,7.2753,-0.0898786,16.6207,0.0274394,1097.45,0.433029,349.873
3,mu-,-10.7306,-0.0904382,16.4762,-0.0197265,1769.95,0.431769,348.386
1,pi-,-0.0127682,-0.0522947,12.6669,0.108381,450.95,0.704466,588.601
2,pi-,-16.1549,-0.0075299,6.1963,-0.119869,1097.45,0.703411,587.542
1,mu-,14.1902,0.0396899,6.27953,0.0592327,450.95,0.137219,81.6283
2,pi-,23.2061,-0.0393469,-3.10399,0.0767206,1097.45,0.197646,117.291
3,pi-,-15.8652,-0.0220213,-9.73158,-0.0813604,1769.95,0.19446,114.199
3,pi-,49.5115,0.0671848,3.10794,0.0473028,1769.95,0.27304,177.892
1,pi-,5.64492,0.139702,-5.16154,-0.0493519,450.95,3.69549,3561.52
2,mu-,24.4401,0.0268312,8.23594,0.15691,1097.45,3.4559,3355.52
3,mu-,16.7427,-0.0750744,35.0473,0.0804799,1769.95,2.96565,2863.91
1,pi+,-15.1561,-0.00417194,0.89584,0.100128,450.95,0.204148,127.261
1,mu-,-0.598686,-0.105768,-4.47847,0.0233711,450.95,0.239928,178
2,mu-,-24.1015,-0.0681648,-10.6666,-0.0843949,1097.5,0.23384,172.934
3,mu-,-12.1728,0.00751864,-47.594,-0.00442238,1769.95,0.0226423,2.74474
1,mu-,64.6566,0.0968975,26.8238,0.0505885,450.958,0.0904825,71.2571
3,pi+,39.8661,-0.105366,-49.5742,-0.0837165,1769.95,0.146794,103.615
1,pi-,20.4734,0.16197,-0.303976,0.317376,450.95,0.931173,867.169
1,pi+,0.917263,-0.03946,-3.17546,-0.0401953,450.95,0.789531,664.178
2,pi+,-5.86393,-0.0400073,-3.39683,0.0397819,1097.45,0.787312,661.999
3,pi+,15.3185,0.0128318,7.32361,-0.0561558,1769.95,0.783495,658.341
1,pi-,7.455,0.0864217,-7.77197,-0.0145389,450.95,0.503181,389.912
2,pi-,14.3177,0.0837427,-16.6237,-0.023602,1097.45,0.501949,388.637
1,pi-,-11.4093,-0.208859,10.6881,0.0385818,450.95,0.900175,795.794
1,pi+,-16.7906,-0.262985,-5.63336,-0.0387476,450.95,1.29389,1188.7
2,pi+,12.4184,-0.012881,8.38391,-0.230291,1097.45,1.22311,1112.9
1,pi-,-8.18874,-0.00486639,-0.0929266,-0.0919034,450.95,0.335323,235.117
2,mu-,-7.14893,-0.0506912,7.4554,0.0489663,1097.45,0.200484,131.67
3,mu-,-14.8998,-0.00188747,14.5736,0.0545548,1769.95,0.127732,68.8669
1,mu+,-13.3731,-0.12829,-10.2553,-0.0201928,450.95,0.629494,545.719
2,mu+,-4.29427,0.103232,1.31409,-0.0567974,1097.45,0.600611,515.453
3,mu+,-29.2929,0.0696074,-3.19251,0.058659,1769.95,0.530032,442.414
1,mu+,9.98453,0.195682,6.57986,-0.067783,450.95,0.704894,636.585
2,mu+,1.37427,-0.193902,-20.2484,-0.0207219,1097.45,0.665269,595.607
3,mu+,25.8827,0.0300478,25.759,-0.15572,1769.95,0.56943,494.813
1,pi+,4.07507,0.0652804,7.33846,0.0578734,450.95,0.330874,229.981
2,pi+,14.4214,0.0720279,18.1856,0.0482551,1097.45,0.329664,228.77
1,mu-,2.61683,-0.00510819,-13.2223,-0.0661747,450.95,0.174873,109.166
2,mu-,-4.91636,-0.0357162,-18.5249,0.0138432,1097.45,0.0940882,40.9143
1,mu+,-8.07687,-0.0116818,16.6589,0.046304,450.95,0.0572707,23.6629
1,mu-,8.64906,0.105971,-12.34,-0.0169648,450.95,0.268686,202.356
2,mu-,21.1869,0.0647931,-21.6483,-0.0426793,1097.5,0.182213,118.808
1,pi-,18.9659,-0.0336046,-8.5488,-0.0129644,450.95,0.532422,412.018
2,pi-,16.7954,-0.0355222,-5.57793,0.00875293,1097.45,0.522197,402.194
3,pi-,19.1008,-0.0222431,-7.58254,0.0287518,1769.95,0.520255,400.306
1,pi+,16.3157,-0.0544354,-1.8022,0.105641,450.95,0.131205,85.8579
2,mu-,16.2346,0.0796164,-16.8248,0.0132181,1097.45,1.2148,1116.4
3,mu-,22.1387,-0.0653916,14.403,0.036098,1769.95,1.16528,1066.79
1,pi+,-1.87599,0.016568,1.60085,0.0234104,450.95,1.01221,882.616
2,pi+,-3.98136,0.0178095,3.18423,0.0293555,1097.45,1.0108,881.396
3,pi+,9.9796,-0.0117811,-3.3765,-0.0335679,1769.95,1.00958,880.237
1,pi-,-13.8946,-0.178699,-2.69181,-0.275876,450.95,0.773834,712.686
1,pi+,1.54452,0.0703373,10.6828,0.032835,450.95,0.521739,406.065
2,pi+,1.30066,0.0472862,19.626,0.06217,1097.45,0.520087,404.554
1,pi+,15.7677,0.0295549,-3.93165,-0.231465,450.95,1.67129,1553.69
1,pi-,-6.29704,-0.125026,14.5902,0.180335,450.95,0.992152,886.099
2,pi-,0.158602,-0.151391,23.2495,0.157205,1097.45,0.95215,847.193
1,mu+,-1.98879,-0.0131987,0.756994,0.0108204,450.95,0.724396,626.601
2,mu+,-1.48519,0.0150341,3.13652,0.00465076,1097.45,0.723153,625.342
3,mu+,-3.70487,-0.0170396,-3.13163,0.0105812,1769.95,0.721472,623.785
1,pi+,-6.91054,-0.249435,-16.8235,-0.0478025,450.95,2.79257,2668
3,pi+,37.4562,0.253443,46.8612,-0.0707482,1769.95,2.47808,2356.35
1,pi+,-9.97299,-0.148342,-12.2604,-0.122472,450.95,0.461308,379.361
2,mu+,-21.3402,0.0514002,0.0260395,0.0724783,1097.45,0.270337,197.888
3,mu+,-17.5009,-0.0759702,-20.2762,0.0419541,1769.95,0.269297,196.362
1,pi+,3.59925,0.176229,10.8518,0.063825,450.95,1.49139,1370.02
2,mu+,-2.6983,0.0975124,13.3633,0.106757,1097.45,1.01294,922.989
3,mu+,50.9968,-0.0554933,-23.4865,-0.119498,1769.95,0.924808,834.444
1,pi-,3.34734,-0.217505,4.22916,-0.105251,450.95,0.564991,490.573
1,mu+,-10.6739,-0.0930957,-15.1232,-0.0714258,450.95,0.541707,458.592
2,mu+,-13.5106,-0.0571401,-28.1271,-0.0849874,1097.5,0.397475,318.178
3,mu+,-38.0133,0.0211144,-21.7422,0.0456573,1769.95,0.234006,155.974
1,pi+,14.933,0.033178,12.6909,-0.0840701,451.05,-0.182956,107.657
1,pi+,-2.08708,0.0135652,-4.8903,0.110413,450.95,0.310713,218.756
2,pi+,17.6853,0.107927,12.1275,0.0109727,1097.45,0.309788,217.105
3,pi+,-1.36182,-0.0253127,-32.109,0.0873014,1769.95,0.177404,103.769
1,pi+,-3.99725,-0.0962411,-12.4512,-0.240727,450.95,1.33366,1226.21
1,mu+,7.05238,0.00814247,-7.13376,-0.0493099,450.95,0.220507,143.911
2,mu+,2.1603,0.0021331,-2.48203,0.0486796,1097.45,0.219233,142.536
3,mu+,9.35712,0.0392537,11.0567,0.0295805,1769.95,0.217405,141.008
2,mu+,1.30019,-0.0946043,-11.672,0.0417292,1097.45,0.213729,154.216
3,mu+,0.567965,0.0590792,35.137,0.0407613,1769.95,0.155817,95.8221
1,pi+,-16.5288,-0.114652,-2.76699,0.0163225,450.95,0.201235,131.33
1,pi-,9.91451,0.0700754,4.96386,0.0954519,450.95,0.332788,240.232
2,mu-,-10.413,-0.0385044,12.5843,-0.0635994,1097.45,0.249072,174.927
3,mu-,-8.25051,-0.0708161,13.4896,-0.0155615,1769.95,0.247985,173.478
1,pi+,15.7931,0.221692,13.4379,0.0179285,450.95,0.336916,287.584
2,pi+,0.37799,-0.127944,-17.6048,-0.0130202,1097.45,0.167361,113.469
1,pi-,1.36841,0.093235,-10.9879,-0.115428,450.95,0.367917,280.975
1,mu+,-12.5469,-0.138091,-6.63145,-0.000969212,450.95,0.432353,360.349
3,mu+,-16.8519,0.0304634,25.3698,0.0426292,1769.95,0.230717,153.454
1,pi+,-17.391,0.0956474,10.8397,0.160473,450.95,0.642668,544.098
1,pi+,2.48067,0.0189363,-2.45023,-0.112968,450.95,0.963331,840.535
2,pi+,8.47535,-0.00729187,-5.29417,-0.113658,1097.45,0.962338,839.483
3,pi+,-41.0766,-0.00101175,-9.11934,0.0945204,1769.95,0.864964,741.666
1,pi+,10.3607,0.0906362,1.06336,0.0311092,450.95,0.461102,351.63
1,mu+,10.102,-0.07493,-3.30264,0.00366152,450.95,0.242976,169.712
2,mu+,-5.51286,-0.0452246,3.49653,0.0697089,1097.45,0.238828,168.398
3,mu+,-4.74273,0.0300396,31.1478,0.0722325,1769.95,0.194657,129.235
1,pi+,0.426966,-0.344807,-18.5289,0.0279963,450.95,0.386525,397.605
1,pi+,-11.6723,-0.16064,-11.0482,-0.00862566,450.95,0.285001,216.217
1,pi+,-12.5501,0.0528543,13.7853,0.0538468,451.05,-0.114811,56.2727
1,pi-,2.15037,0.0473313,-2.61201,0.00611857,450.95,1.00407,875.278
2,pi-,2.9685,0.0476135,-5.29407,0.00556939,1097.45,1.00271,873.939
3,pi-,2.21631,-0.0483865,15.7621,0.0039357,1769.95,1.00146,872.73
1,mu-,-1.33103,0.0416482,-15.7494,-0.0635632,450.95,0.411381,325.819
2,mu-,10.2939,-0.0256012,-9.00097,0.0717136,1097.45,0.397476,312.611
3,mu-,-10.4966,-0.0706113,2.80533,0.000752883,1769.95,0.38622,300.933
1,pi+,3.83072,0.108378,3.66097,0.125792,450.95,0.675678,570.07
2,pi+,16.9576,-0.0946944,-16.9103,-0.127953,1097.45,0.663796,557.168
2,pi-,1.72257,0.0692927,-10.293,0.132949,1097.45,0.627437,520.455
3,pi-,-32.3368,-0.163377,-0.958946,0.0745385,1769.95,0.256486,203.232
1,pi-,3.56639,0.113884,0.962107,0.0858468,450.95,1.03238,911.915
2,pi-,6.27994,0.129034,-7.09928,0.0615487,1097.45,1.0312,910.807
3,pi-,-11.28,-0.129622,54.4815,-0.019293,1769.95,0.907744,788.144
1,pi+,1.49947,0.0683552,9.36487,0.111656,450.95,1.74893,1619.79
2,pi+,14.6189,-0.112396,-13.5658,-0.0725712,1097.45,1.74752,1618.61
3,pi+,-28.9971,-0.0618549,-1.27514,0.120184,1769.95,1.74605,1617.26
2,mu+,-18.7564,-0.126484,-5.70054,-0.119573,1097.45,0.340176,290.8
1,pi+,20.4283,0.106023,-1.59722,-0.00174119,450.95,0.182003,113.113
2,pi+,12.6886,-0.0550485,8.33053,0.111952,1097.55,-0.0629135,57.9178
1,pi+,-5.11045,-0.132858,-0.674493,0.0305019,450.95,0.903972,785.214
2,pi+,-15.2763,-0.0847533,-0.539412,0.105028,1097.45,0.902831,783.9
3,pi+,29.6641,-0.0636558,-28.1997,-0.241393,1769.95,0.76902,680.914
1,mu+,16.1193,0.201641,9.22035,0.00933797,450.95,0.312935,281.431
1,pi+,-4.66133,0.0560433,5.35748,0.327841,450.95,1.12708,1043.82
3,pi-,23.6194,-0.127239,-2.70882,-0.263234,1769.95,0.297389,300.205
3,pi+,33.1812,0.32586,19.0077,1.01104,1769.95,3.05828,3100.95
1,pi+,-2.38204,-0.126734,-13.665,-0.0836767,450.95,0.330203,249.759
1,pi-,9.38837,-0.0766777,16.7937,0.122994,450.95,0.612538,505.17
1,pi-,10.2968,0.263114,-11.0106,-0.0599248,450.95,0.400146,362.841
1,pi+,-17.1367,-0.0736742,8.60808,0.173282,450.95,0.941838,830.993
1,mu+,-7.97568,-0.0957305,-0.278604,0.030939,450.95,0.371888,293.824
2,mu+,-2.55245,-0.0114415,-1.91149,-0.100357,1097.45,0.360508,283.356
3,mu+,-47.881,-0.0498758,-12.0897,0.0650468,1769.95,0.277028,201.956
1,mu-,11.3237,0.0194734,9.85889,0.0659614,450.95,0.216139,144.561
1,pi+,4.6059,0.0438098,-10.2556,-0.174632,450.95,1.30736,1187.49
1,pi-,-9.90154,-0.0965253,4.42989,-0.00570998,450.95,0.400272,295.225
2,mu-,-10.6666,0.0305383,-1.14266,0.0430637,1097.45,0.225212,148.647
3,mu-,-17.9785,-0.0339929,16.8003,0.0244808,1769.95,0.190708,116.35
2,mu+,-5.04696,0.0444229,-11.9317,-0.0356799,1097.55,-0.0524675,25.3491
1,pi-,-10.0608,-0.093335,-4.15508,-0.137061,450.95,0.614885,512.396
2,mu-,10.5153,0.104651,-19.7777,0.0263084,1097.45,0.356775,281.763
3,mu-,12.0038,-0.0901171,25.2547,0.0263085,1769.95,0.311832,236.71
1,pi+,-8.18664,-0.0300271,10.7314,0.163019,450.95,0.466837,375.107
2,mu+,6.40699,0.0537031,24.1662,-0.0646524,1097.45,0.299462,222.831
3,mu+,-23.4816,-0.00956602,13.5032,0.0835922,1769.95,0.287133,211.655
1,pi-,-1.189,0.076986,1.89653,0.139166,450.95,0.570691,469.085
2,pi-,-2.6658,0.137718,-12.2069,-0.0752683,1097.45,0.569668,467.581
3,pi-,-7.89295,0.0367045,0.240752,-0.13408,1769.95,0.51387,410.763
1,pi-,1.39579,-0.0380424,-2.52239,0.0451267,450.95,0.306104,201.99
2,pi-,-13.1751,-0.0408027,-3.78756,-0.0458641,1097.45,0.303889,200.424
2,pi-,-8.96734,-0.0170272,-21.6601,-0.000675764,1097.55,-0.145406,62.6994
1,pi+,4.80036,0.0127135,6.32,-0.0493555,450.95,0.17048,86.5731
2,pi+,14.9756,0.0402599,-2.76432,-0.0247777,1097.45,0.168761,84.472
3,pi+,12.734,-0.0309797,-24.4506,-0.0055789,1769.95,0.125264,50.5918
1,mu+,-12.8561,-0.238503,-6.46459,-0.0189575,450.95,0.482038,442.764
3,mu+,-49.5643,-0.0427347,13.774,0.0408632,1769.95,0.184781,115.258
2,pi-,-7.14238,-0.00488877,-44.8014,-0.064895,1097.5,-0.111789,50.7238
3,mu+,-6.70219,0.0574267,1.11334,0.0565075,1769.95,0.316413,237.52
3,pi-,-33.661,-0.139098,-58.7216,-0.187433,1769.95,0.44809,384.589
1,pi+,-16.128,-0.028495,4.46588,0.254614,450.95,0.9517,855.846
1,pi+,-9.4696,-0.0445358,2.72105,0.380634,450.95,1.89106,1794.97
3,mu+,-9.7387,0.172227,19.8564,0.0922534,1769.95,0.635894,567.913
1,pi+,17.6916,0.193433,0.191945,-0.0363723,450.95,0.521095,434.677
1,mu+,6.02431,0.0653606,-2.77587,0.0065898,450.95,0.191912,123.054
2,mu+,24.8097,0.022287,-11.6857,-0.0535243,1097.5,0.164843,98.5437
1,pi+,0.55987,-0.0704708,-2.51347,0.0145743,450.95,0.634677,514.244
2,pi+,7.53574,0.0608756,3.88191,-0.0413117,1097.45,0.633138,512.93
3,pi+,-11.7437,0.0408938,0.530962,0.0616004,1769.95,0.631702,511.578
1,pi-,-5.45027,0.102697,-14.4441,-0.103234,450.95,0.898711,781.497
2,pi-,1.16605,0.144197,-23.7268,-0.0114101,1097.45,0.897515,780.177
3,pi-,-1.04401,-0.12588,36.5495,-0.0181602,1769.95,0.804493,686.786
1,mu+,2.55875,0.0300435,-17.5541,-0.187597,450.95,0.63205,562.732
2,mu+,11.7031,0.161862,-7.606,-0.037876,1097.45,0.517341,447.912
1,mu-,-15.1618,-0.144315,8.85251,0.0256147,450.95,0.203486,166.468
1,pi+,-1.71079,0.00503107,0.745568,0.0098513,450.95,0.367368,253.573
2,mu+,-7.88176,-0.0277754,-0.482829,0.0178256,1097.45,0.332438,244.725
3,mu+,-2.34794,0.039277,14.2713,0.00220259,1769.95,0.330383,243.432
1,pi+,13.1848,0.067151,-5.20868,-0.0514511,450.95,0.259002,166.564
1,pi-,3.31912,0.113368,-1.57296,0.046847,450.95,1.33547,1208.76
2,pi-,-15.2409,0.0473642,-2.90452,-0.118709,1097.45,1.33387,1207.66
3,pi-,36.3517,0.0716992,-6.64309,0.117994,1769.95,1.29045,1165.73
1,mu+,1.38699,0.135618,0.924395,-0.0500445,450.95,0.108632,103.772
1,mu-,5.34515,0.0213731,-2.89787,-0.0258849,450.95,0.0862873,34.8259
2,mu-,-2.51553,-0.0262528,-12.3654,-0.0174061,1097.45,0.082713,32.1721
1,mu-,2.87381,0.13179,-7.41374,-0.0850327,450.95,0.506049,434.572
2,mu-,10.4078,0.120249,-26.7214,-0.0841003,1097.5,0.453528,382.588
3,mu-,45.1413,0.017902,-17.3146,0.0681966,1769.95,0.331469,249.315
1,pi+,-6.803,0.0531867,14.4673,0.240776,450.95,1.56421,1450.09
2,pi+,15.3334,-0.210116,-20.7932,-0.0671357,1097.45,1.31606,1202.13
3,mu+,-33.567,0.0897122,36.0732,0.10192,1769.95,1.02413,932.819
1,pi-,1.64119,0.0203313,-3.20322,-0.033254,450.95,0.408102,293.496
2,pi-,8.55072,-0.0100208,0.309607,0.0406184,1097.45,0.406653,292.399
3,pi-,0.644526,-0.038859,7.82631,0.0105979,1769.95,0.405577,291.237
1,pi+,-9.19021,-0.0783991,4.89621,0.0188881,450.95,0.143909,76.5149
1,pi-,-1.50202,-0.0797798,4.72952,0.228671,450.95,1.39719,1285.31
2,mu-,-15.6694,-0.0659787,-20.8331,-0.0056553,1097.5,0.244786,169.057
2,pi+,-3.67605,-0.0173778,-12.0217,0.143153,1097.45,0.41271,319.346
3,pi+,24.3329,0.110424,22.2989,0.0479951,1769.95,0.371295,274.962
3,pi-,25.9223,-0.0545858,-7.16552,0.222017,1769.95,0.310964,270.855
3,pi+,-9.53306,0.26132,25.8076,-0.211222,1769.95,0.698675,648.166
1,pi+,-5.40381,-0.0886454,-9.36101,-0.0135066,450.95,0.573044,457.004
2,pi+,2.77691,0.0170184,-10.6487,-0.0871709,1097.45,0.57145,455.344
3,pi+,-7.82269,0.0752236,-1.42272,-0.0278752,1769.95,0.520828,405.57
1,pi-,9.25723,-0.328006,15.3811,0.591917,450.95,1.92769,1908.22
1,pi+,-3.98941,0.116761,1.55915,0.176002,450.95,2.11803,1993.54
1,pi+,-10.7102,-0.180413,-7.7514,0.163321,450.95,0.495852,430.142
3,mu+,15.887,-0.0191594,11.0377,-0.0597039,1769.95,0.112428,60.8805
1,pi-,19.4591,0.144704,5.46276,0.148925,450.95,0.958452,850.999
1,pi-,4.29005,0.166474,-5.0418,0.0304384,450.95,0.429029,342.287
1,pi+,0.488884,-0.287046,-5.4608,0.00942497,450.95,1.44793,1343.15
1,pi+,-1.16665,0.17231,-1.90138,0.138651,450.95,0.554769,473.752
2,pi+,-13.8267,0.00559004,11.8508,0.205093,1097.45,0.502279,420.661
1,mu+,11.8034,0.111389,2.68806,0.00499593,450.95,0.421512,342.971
2,mu+,16.5818,-0.0852776,-15.4947,-0.0365878,1097.45,0.352599,273.947
3,mu+,-14.328,0.0101453,8.87219,0.0914175,1769.95,0.351382,272.618
1,mu+,8.48365,0.0785816,10.6418,0.0265557,450.95,0.174339,114.428
2,mu+,12.2051,-0.0376914,9.76758,0.00603078,1097.45,0.0915926,39.2895
3,mu+,10.5149,-0.00856105,9.50331,-0.0247971,1769.95,0.0489279,13.6965
1,pi-,8.18718,0.101636,-2.34547,0.0896939,450.95,1.53209,1404.82
2,pi-,-16.9914,0.01459,-1.79048,-0.136567,1097.45,1.53047,1403.37
1,pi+,12.2522,0.306416,12.3027,-0.317308,450.95,2.00836,1921.39
2,pi+,17.9308,-0.082662,-10.1154,0.19403,1097.45,0.703878,608.363
1,pi-,3.89343,0.093477,-8.84388,-0.0607469,450.95,0.554468,442.961
2,pi-,-5.41529,-0.0285363,-12.0139,-0.107903,1097.45,0.553295,441.87
3,pi-,-0.510618,-0.0799534,-4.22453,-0.0632325,1769.95,0.488204,378.323
1,pi+,-20.1074,-0.128082,-1.07206,0.103192,450.95,0.423447,335.657
3,mu+,-63.3687,0.0467709,13.2914,0.0430235,1769.95,0.0973852,51.4597
1,mu-,11.9939,0.125768,5.68886,0.0685266,450.95,0.477797,404.211
3,mu-,10.6104,0.0689321,23.6549,-0.0232739,1769.95,0.234145,161.326
1,pi+,6.54574,0.227556,12.0721,-0.0876067,450.95,0.569847,495.774
2,pi+,0.0478001,0.126739,29.3991,0.172626,1097.5,0.511438,432.191
2,pi+,0.505024,-0.0165554,35.2191,0.198509,1097.5,-0.118973,131.195
1,pi+,1.03312,0.0471954,7.11922,0.0951707,450.95,0.366574,266.805
2,mu+,5.31339,-0.0383307,13.9539,0.00654477,1097.45,0.216329,138.215
3,mu+,-0.695977,0.0232299,32.5495,0.0307474,1769.95,0.167373,95.9912
1,pi-,4.39936,0.0839598,-2.00059,0.0603122,450.95,0.966103,842.022
2,pi-,9.50325,0.0678542,-4.29466,0.0751938,1097.45,0.949061,825.031
1,pi-,-1.45118,0.0221399,-16.3325,-0.209157,450.95,0.473673,397.163
1,pi-,-4.77529,0.0435578,-6.63834,-0.106919,450.95,0.388351,288.945
2,mu-,4.11435,-0.08809,8.28286,0.0897472,1097.45,0.337485,269.674
3,mu-,-40.6978,0.036076,-27.6244,-0.0804803,1769.95,0.256919,185.803
1,pi-,-11.4756,-0.0764225,-13.1269,-0.076125,450.95,0.146674,89.8361
2,mu+,18.7207,0.0857774,7.90747,-0.105575,1097.45,0.109677,98.539
1,pi+,-0.985611,-0.0774184,4.12898,0.0526289,450.95,0.501028,388.892
2,pi+,-13.3486,-0.0805065,3.18094,0.0494475,1097.45,0.499728,387.814
1,pi-,-14.5242,-0.301846,14.3636,0.277007,450.95,1.29583,1226.63
1,pi+,-3.63573,0.112553,17.9993,0.482422,450.95,0.997257,982.66
1,pi+,-4.03197,0.000122228,4.29514,0.0953312,450.95,0.530639,417.336
2,pi+,-13.5055,-0.0651624,5.20789,0.0732164,1097.45,0.528927,416.173
3,mu+,-13.6502,-0.0761254,2.8922,0.0381124,1769.95,0.34553,265.559
1,pi-,17.6965,0.0987989,-10.623,-0.0193741,450.95,0.123118,72.0295
3,pi+,-50.1282,0.00609948,4.74611,0.126672,1769.95,0.404488,306.718
1,pi-,-8.26948,-0.334732,-8.92084,-0.309712,450.95,1.34509,1287.56
1,mu-,-5.20359,0.00762611,-13.8608,-0.042312,450.95,0.177936,105.703
2,mu-,-11.5303,-0.0306182,-22.8663,-0.0288344,1097.45,0.160721,91.2268
1,pi+,-14.4689,-0.0702018,7.90979,0.297853,450.95,0.840563,765.786
3,mu+,35.9878,0.0756717,-19.2101,-0.0185765,1769.95,0.19176,126.734
1,pi-,-6.06446,-0.268728,0.125793,0.192006,450.95,0.536747,505.921
2,pi-,-4.02002,-0.138082,32.4115,0.24117,1097.5,0.449887,407.337
1,pi-,-19.432,-0.220652,1.14766,-0.138288,450.95,1.15955,1057.02
1,pi+,-1.88404,-0.0556194,-0.235756,-0.120344,450.95,0.505709,401.537
2,mu+,-9.58836,-0.0866357,-10.4428,-0.00909757,1097.45,0.436994,352.289
3,mu+,-29.7349,-0.0590321,-2.92001,0.0486017,1769.95,0.405798,320.584
1,mu-,-11.2396,0.00214362,-2.32069,0.101775,450.95,0.193632,137.282
1,pi+,-12.2402,-0.167048,-2.00989,0.0450189,450.95,0.713572,607.823
2,pi+,-7.66263,0.141047,24.057,0.0495155,1097.45,0.658371,549.834
3,mu+,-19.8217,-0.034585,-14.2936,0.0721081,1769.95,0.399377,315.129
1,mu-,14.4895,0.0243383,1.43617,0.160175,450.95,0.211757,181.14
1,pi+,1.38799,-0.1533,-6.66577,-0.143363,450.95,0.572482,485.945
2,pi+,16.2592,0.0996315,-7.51593,-0.162136,1097.45,0.5393,449.105
1,pi-,-11.9446,-0.150567,-12.3285,-0.16457,450.95,0.559623,478.824
1,pi+,1.50929,0.0506527,4.31153,0.172138,450.95,1.3893,1268.21
2,pi+,6.61655,-0.168085,-22.1758,0.0224338,1097.45,1.33075,1209.18
3,mu+,-5.29229,0.105468,28.4957,0.0614889,1769.95,1.15883,1064.37
1,pi+,-4.44538,-0.253719,7.56936,0.550429,450.95,1.35627,1352.51
1,pi+,-4.81822,-0.210092,-14.7184,-0.137184,450.95,0.430574,377.955
2,mu+,0.118485,0.0586751,-26.2911,-0.129564,1097.5,0.263388,211.779
3,pi-,-17.8755,-0.0620995,-15.3974,-0.0113509,1769.95,0.0574689,24.0378
1,mu+,2.74017,0.062022,1.61975,0.148615,450.95,0.272701,228.202
2,mu+,-7.75721,-0.0514278,12.2593,0.132571,1097.45,0.248528,199.546
3,mu+,8.1468,0.0355682,51.1261,0.0709221,1769.95,0.162306,103.631
1,pi-,-2.86755,-0.177502,1.61624,0.0707525,450.95,0.816682,710.701
2,pi-,-21.538,-0.088266,-4.2725,-0.161715,1097.45,0.785428,679.16
1,pi+,-18.2609,0.147813,4.13747,0.0423559,450.95,0.212854,157.8
1,pi+,-6.86775,-0.110274,0.305059,-0.0810236,450.95,0.333052,246.602
1,pi+,-11.7107,0.0138769,11.1964,0.176192,450.95,1.00516,890.504
2,pi+,-20.1493,0.0102928,12.7105,0.17267,1097.45,0.987065,872.21
3,pi+,52.5189,0.00439494,11.1454,-0.152934,1769.95,0.892316,776.462
1,pi-,-0.231337,0.0887268,-1.58537,0.0229231,450.95,0.40119,294.977
2,pi-,-4.97989,-0.0896297,12.7975,-0.0181045,1097.45,0.400045,293.878
3,mu-,2.41157,0.0810615,-18.6258,0.0264979,1769.95,0.299048,222.772
1,mu+,-5.62096,0.0327477,-4.61746,0.0911227,450.95,0.122952,83.1711
1,pi+,18.3331,0.209494,-8.1252,-0.291102,450.95,3.54547,3426.72
1,pi-,10.1208,0.0910617,2.83115,0.174089,450.95,1.52577,1405.12
1,pi+,2.11803,0.0243356,-2.29676,-0.0446758,450.95,0.701671,577.653
2,pi+,-4.48014,-0.0412586,-6.1291,0.0314328,1097.45,0.7004,576.482
3,mu+,14.1896,0.0135377,-1.96722,-0.0643191,1769.95,0.557504,465.564
1,pi-,6.37404,0.0343334,6.62986,0.188238,450.95,0.885559,777.112
2,pi-,3.90198,-0.132808,23.6771,0.12058,1097.45,0.840176,730.805
3,pi-,-41.7645,0.1424,-33.9293,-0.0597274,1769.95,0.734881,624.22
1,pi+,11.9348,0.0598501,-1.702,-0.0881425,450.95,0.721578,603.064
2,pi+,1.65424,-0.100305,-13.0465,0.0225525,1097.45,0.721019,601.995
1,pi+,17.427,0.107551,1.62819,-0.0984514,450.95,0.739051,626.547
2,pi+,7.05835,-0.158583,-19.8182,-0.0197062,1097.45,0.707071,598.648
3,pi+,29.9817,0.10345,36.1157,-0.112429,1769.95,0.624192,518.029
1,mu-,-8.86824,0.127755,14.4873,-0.0794987,450.95,0.236392,193.818
