Detector,ParticleType,x[cm],px[MeV/c],y[cm],py[MeV/c],z[cm],pz[MeV/c],TotalEnergy[MeV]
1,pi+,4.18323,0.0155585,-1.43166,-0.0424639,450.95,0.595423,473.661
2,pi+,1.63059,0.0309478,2.58317,0.0331344,1097.45,0.594067,472.353
3,mu+,11.1011,0.0256225,8.18263,-0.0164788,1769.95,0.402218,311.32
1,pi+,13.7626,0.0549942,1.16102,-0.0514966,450.95,0.218192,130.178
1,pi-,-14.1995,-0.0996325,-6.9188,-0.164849,450.95,0.470144,387.324
3,pi-,-11.6308,-0.0384402,-10.1075,-0.0763218,1769.95,0.169737,96.2119
2,pi+,-12.7254,0.219259,-16.171,0.18682,1097.45,0.696123,626.617
1,mu+,9.3811,0.0715138,-12.1826,-0.0930122,450.95,0.285643,220.718
2,mu+,21.2245,0.0235881,-26.4623,-0.0427427,1097.5,0.137993,74.8657
3,mu+,-10.2091,0.0185204,54.9352,0.0784727,1769.95,0.170653,110.645
3,mu+,-0.602947,-0.0518003,2.25998,-0.0111038,1769.95,0.318908,234.448
1,pi+,-5.32838,-0.0618897,1.04262,0.0738972,450.95,0.315919,219.004
2,pi+,-8.79748,0.0328755,22.6927,0.0910055,1097.45,0.314226,217.614
1,pi-,2.96804,0.0647158,1.46985,0.135118,450.95,0.772696,659.794
2,pi-,-5.81217,-0.147197,19.0371,0.0245383,1097.45,0.771658,658.681
3,pi-,-52.1852,-0.196327,44.5871,0.163967,1769.95,0.531025,466.15
1,pi+,-3.72672,-0.406953,-5.86105,0.0899272,450.95,1.41127,1338.56
1,pi-,19.425,0.107489,-2.09923,0.0157547,450.95,0.43034,325.697
2,pi-,14.3294,-0.00459195,-1.54568,-0.0838351,1097.45,0.339996,237.426
3,pi-,-17.1437,-0.0143915,-24.3314,-0.133135,1769.95,0.10168,78.9494
1,pi-,7.39619,0.244333,-1.60553,0.00198739,450.95,0.652986,571.466
2,pi+,20.1286,-0.0325911,-1.73777,0.129007,1097.45,0.459563,358.81
2,pi+,23.4434,-0.114765,-8.33516,0.0296359,1097.45,1.04347,919.846
3,pi+,27.5196,0.108913,43.6055,0.013906,1769.95,0.991499,867.706
1,pi-,13.6868,0.161982,-9.14741,-0.116413,450.95,0.558713,469.88
1,pi+,18.3449,0.141385,-4.82141,-0.115468,450.95,0.756388,650.952
1,mu+,0.941231,0.0778687,10.1533,-0.0431819,450.95,0.171376,114.482
2,mu+,20.1976,0.0745614,16.7136,0.0441686,1097.5,0.168387,111.201
1,pi-,9.17057,0.00521669,10.5188,0.103411,450.95,0.749209,629.53
2,pi-,-3.42978,-0.0919412,17.5974,-0.0474946,1097.45,0.747974,628.319
3,pi-,27.27,0.0326207,-8.14473,0.096476,1769.95,0.747042,627.191
1,pi+,12.6204,0.242635,2.83063,-0.0963388,450.95,1.91588,1799.05
1,mu+,-10.8481,-0.102547,-13.4776,0.0398137,450.95,0.522057,438.224
2,mu+,-19.6698,-0.098533,-21.4899,-0.00814832,1097.5,0.452449,369.367
3,mu+,-44.8597,-0.0163469,-1.46661,0.063422,1769.95,0.331533,248.414
1,pi+,5.86914,0.300895,16.7935,0.243704,450.95,0.755991,721.204
1,pi+,-16.7838,-0.208368,3.67509,0.136223,451.05,-0.203888,211.178
1,pi+,-2.30398,-0.310332,-12.3877,-0.298264,450.95,2.02575,1936.1
1,mu+,3.43822,0.192732,-19.5919,-0.0742067,450.95,0.290165,265.841
1,pi+,-4.25798,0.0458998,2.52327,0.0614613,450.95,1.03319,905.818
2,pi+,-8.5719,0.0318242,3.87079,0.0699907,1097.45,1.03199,904.65
3,mu+,25.7236,0.00783148,-4.1663,-0.0435815,1769.95,0.703732,607.337
1,pi-,14.9408,0.0669876,8.14354,0.0888854,450.95,0.412847,310.219
1,pi-,-15.3991,-0.190612,4.25951,-0.191165,450.95,1.45217,1344.06
1,pi-,-8.30617,0.0219189,-9.89144,-0.259063,450.95,0.759434,675.177
3,pi-,15.5918,0.1729,-20.002,0.0337099,1769.95,0.472887,384.007
1,pi+,0.00304981,0.219331,17.863,0.17787,450.95,0.537226,483.194
3,mu+,44.0061,0.0882075,43.2399,0.0290486,1769.95,0.17165,116.269
1,mu+,-1.12136,-0.0269316,-2.07679,0.011386,450.95,0.16096,89.0896
2,mu+,-5.29266,0.0107216,8.31928,0.0273466,1097.45,0.158166,86.8072
3,mu+,-3.969,0.0106873,14.8928,0.0293813,1769.95,0.155619,85.0202
1,mu+,8.94858,0.245017,16.8566,0.0748807,450.95,2.30222,2213.18
3,mu+,-32.5116,-0.125974,-28.687,0.12368,1769.95,1.99676,1901.68
1,pi+,-5.7298,-0.000286551,-0.278682,0.0604409,450.95,0.28666,184.94
2,pi+,4.83933,0.000353935,-4.57045,-0.0593926,1097.45,0.284371,182.725
3,pi+,-11.6655,0.0461292,4.63406,0.0344002,1769.95,0.283025,181.201
1,pi-,3.39584,-0.00359741,-0.962404,-0.0307795,450.95,0.120435,47.3649
2,pi-,9.79141,0.022713,-2.21986,0.0217859,1097.45,0.116314,44.8189
3,mu-,17.0368,0.00942924,-0.416595,0.00183389,1769.95,0.0540422,13.4068
2,pi-,17.4159,0.0220798,1.02286,-0.0849132,1097.45,0.522019,407.862
1,mu-,-16.3596,-0.0157489,-12.9184,-0.110893,450.95,0.270211,205.344
3,mu+,7.37217,0.0102719,-42.9165,-0.0278408,1769.95,0.164405,92.0112
1,pi-,-6.49564,-0.0530912,18.0585,0.095884,450.95,0.144302,89.1549
2,mu-,0.485215,0.00573229,19.6325,0.0536211,1097.45,0.126412,67.6953
