x,y,z,bx,by,bz,particle,energy,volume
106.270444,612.016209,10645.500000,0.449627,2.589419,3.149163,pi+,1660.406737,Solenoid_1_FieldVolume
142.021297,-43.378066,2930.000000,2.048415,-0.625655,11.022070,pi+,1929.581559,Solenoid_1_FieldVolume
-131.251935,268.728848,6810.000000,-0.540882,1.107416,3.149163,pi+,1928.827668,Solenoid_1_FieldVolume
376.066115,362.495802,10645.500000,1.591123,1.533707,3.149163,pi+,1871.243125,Solenoid_1_FieldVolume
49.614935,-13.397355,2930.000000,0.715611,-0.193234,11.022070,pi-,884.162933,Solenoid_1_FieldVolume
38.884470,12.064126,380.000000,1.041564,0.323151,20.469558,pi-,1645.158799,Solenoid_1_FieldVolume
5.025783,-151.071157,4215.500000,0.042528,-1.278354,6.298326,pi-,1644.369347,Solenoid_1_FieldVolume
221.830466,-203.958157,5130.000000,-1.530418,1.407116,4.723744,pi-,177.766622,Solenoid_1_FieldVolume
432.525670,-226.279656,5130.000000,-2.984014,1.561113,4.723744,pi-,351.945052,Solenoid_1_FieldVolume
58.278572,116.922234,11540.500000,0.123287,0.247347,1.574581,pi+,521.238887,Solenoid_1_FieldVolume
-257.580034,512.606578,15790.000000,-0.530736,1.056211,1.574581,pi+,482.941235,Solenoid_1_FieldVolume
-22.839922,-2.307636,-470.000000,-0.611793,-0.061813,20.469558,pi+,849.717086,Solenoid_1_FieldVolume
-118.613069,-89.221869,3780.000000,-1.466393,-1.103034,9.447488,pi+,848.876959,Solenoid_1_FieldVolume
-81.742685,-220.308198,7660.000000,-0.336857,-0.907877,3.149163,pi+,820.952611,Solenoid_1_FieldVolume
224.285278,35.652180,10645.500000,0.948943,0.150843,3.149163,pi+,791.573460,Solenoid_1_FieldVolume
-47.888289,-59.248221,380.000000,-1.282742,-1.587030,20.469558,pi+,298.568741,Solenoid_1_FieldVolume
-28.144593,118.819283,3780.000000,-0.347947,1.468942,9.447488,mu+,235.758719,Solenoid_1_FieldVolume
-12.157951,-46.789036,2080.000000,-0.200409,-0.771260,12.596651,pi+,353.559216,Solenoid_1_FieldVolume
39.419915,-9.390259,380.000000,1.055907,-0.251529,20.469558,pi-,1448.723571,Solenoid_1_FieldVolume
18.483236,137.685629,4215.500000,0.156404,1.165086,6.298326,pi-,1447.388663,Solenoid_1_FieldVolume
92.135701,-454.177025,8510.000000,0.379686,-1.871637,3.149163,pi-,1402.985556,Solenoid_1_FieldVolume
-64.920077,-18.671522,2930.000000,-0.936361,-0.269305,11.022070,pi+,199.948182,Solenoid_1_FieldVolume
