Step,X_mm,Y_mm,Z_mm,R_mm,Bx_Tesla,By_Tesla,Bz_Tesla,B_magnitude_Tesla,Particle,Volume,TrackID
3680,296.3567,-780.6393,383.9295,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,nu_e,Solenoid_1_FieldVolume,2326
3685,806.7990,-215.1753,2.2853,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,nu_mu,Solenoid_1_FieldVolume,2323
3705,-191.5759,-812.7261,-30.7675,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,nu_e,Solenoid_1_FieldVolume,2355
3730,687.4907,196.2137,1780.0000,714.9429,0.00000000,0.00000000,16.66482426,16.66482426,neutron,Solenoid_1_FieldVolume,2379
5650,278.9472,13.6852,100.0000,279.2827,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,3486
5800,-114.0567,-310.3363,568.9217,330.6320,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,3575
5820,-114.0968,-310.5496,930.0000,330.8461,0.00000000,0.00000000,24.07141282,24.07141282,e-,Solenoid_1_FieldVolume,3590
5825,-84.0931,-431.4537,3915.5000,439.5724,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,3590
5830,53.9229,199.4348,2650.0000,206.5960,0.00000000,0.00000000,7.40658856,7.40658856,e-,Solenoid_1_FieldVolume,3590
5835,112.6296,143.9350,2482.6317,182.7641,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,3590
5840,132.4560,176.5825,2505.3896,220.7396,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,3590
5845,122.7233,184.7573,2599.8449,221.8024,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,3590
5850,121.7461,187.3473,2614.4089,223.4304,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,3590
5855,121.7418,187.4181,2603.7824,223.4874,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,3590
6140,122.8184,825.9181,829.9853,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,3481
6270,-211.6590,480.4089,-750.0000,524.9688,0.00000000,0.00000000,24.07141282,24.07141282,anti_nu_e,Solenoid_1_FieldVolume,3835
6730,704.3631,244.2938,100.0000,745.5245,0.00000000,0.00000000,24.07141282,24.07141282,nu_e,Solenoid_1_FieldVolume,4098
6960,50.2486,73.0665,1601.7261,88.6772,0.00000000,0.00000000,16.66482426,16.66482426,N15,Solenoid_1_FieldVolume,4230
