x,y,z,bx,by,bz,particle,energy,volume
291.590060,-78.358071,5960.000000,0.246034,-0.066116,4.723744,pi-,861.407046,Solenoid_1_FieldVolume
529.630821,72.417144,10210.000000,0.298136,0.040765,3.149163,pi-,860.614564,Solenoid_1_FieldVolume
-25.623785,-476.359795,14090.000000,-0.014424,-0.268149,3.149163,pi-,859.829050,Solenoid_1_FieldVolume
52.585384,72.186363,-470.000000,0.192406,0.264125,20.469558,pi+,519.550021,Solenoid_1_FieldVolume
30.454960,130.319038,3780.000000,0.051430,0.220075,9.447488,pi+,518.701254,Solenoid_1_FieldVolume
-86.650552,-1.806464,7660.000000,-0.073113,-0.001524,4.723744,pi+,517.916758,Solenoid_1_FieldVolume
-22.857781,220.150840,11540.500000,-0.012867,0.123926,3.149163,pi+,517.167906,Solenoid_1_FieldVolume
263.706997,105.441759,15790.000000,0.148444,0.059355,3.149163,pi+,516.367974,Solenoid_1_FieldVolume
-89.033114,-359.818206,1230.000000,-0.325766,-1.316551,20.469558,mu-,208.229348,Solenoid_1_FieldVolume
-569.787440,-406.623011,4697.109546,0.000000,0.000000,7.872907,mu-,206.934852,Solenoid_1_FieldVolume
-38.153540,-7.536138,891.341002,0.000000,0.000000,20.469558,pi+,617.403962,Solenoid_1_FieldVolume
-22.995023,-25.590475,4215.500000,-0.032337,-0.035987,7.872907,mu+,550.223113,Solenoid_1_FieldVolume
-52.765352,23.673158,8510.000000,-0.029702,0.013326,3.149163,mu+,549.392095,Solenoid_1_FieldVolume
-115.084127,28.685518,12390.000000,-0.064782,0.016147,3.149163,mu+,548.552578,Solenoid_1_FieldVolume
-64.094343,33.365921,16640.000000,-0.036080,0.018782,3.149163,mu+,547.602678,Solenoid_1_FieldVolume
-3.657327,242.899790,1230.000000,-0.013382,0.888754,20.469558,pi-,725.596608,Solenoid_1_FieldVolume
-108.381000,27.172650,-470.000000,-0.396559,0.099423,20.469558,pi+,457.284571,Solenoid_1_FieldVolume
-129.189098,105.587732,3780.000000,-0.218167,0.178310,9.447488,pi+,455.908195,Solenoid_1_FieldVolume
-0.884720,-162.377504,1230.000000,-0.003237,-0.594128,20.469558,pi+,868.977579,Solenoid_1_FieldVolume
-512.882571,-202.661061,5110.500000,-0.721770,-0.285201,7.872907,pi+,867.939594,Solenoid_1_FieldVolume
-672.134673,-195.537673,8840.856481,0.000000,0.000000,3.149163,pi+,866.667666,Solenoid_1_FieldVolume
78.687511,62.147074,2930.000000,0.154919,0.122354,11.022070,pi-,1096.681671,Solenoid_1_FieldVolume
122.224147,377.935026,6810.000000,0.103129,0.318889,4.723744,pi-,1095.850974,Solenoid_1_FieldVolume
-9.641917,-14.277274,1230.000000,-0.035279,-0.052240,20.469558,pi-,377.202473,Solenoid_1_FieldVolume
341.320455,148.268236,5110.500000,0.480334,0.208655,7.872907,pi-,376.047873,Solenoid_1_FieldVolume
55.582630,96.703496,2930.000000,0.109430,0.190389,11.022070,pi+,244.411052,Solenoid_1_FieldVolume
-46.169056,43.568265,1230.000000,-0.168930,0.159413,20.469558,pi+,2995.228001,Solenoid_1_FieldVolume
-194.081387,-43.522673,5110.500000,-0.273127,-0.061249,7.872907,pi+,2994.464943,Solenoid_1_FieldVolume
-157.201788,259.180181,9360.000000,-0.088491,0.145896,3.149163,pi+,2993.763041,Solenoid_1_FieldVolume
144.886126,309.467758,13240.000000,0.081558,0.174203,3.149163,pi+,2993.040176,Solenoid_1_FieldVolume
309.967079,30.587759,17490.000000,0.174484,0.017218,3.149163,pi+,2992.097591,Solenoid_1_FieldVolume
-12.625097,-51.158738,-1300.000000,0.046194,0.187186,20.469558,pi-,218.136920,Solenoid_1_FieldVolume
-33.280161,25.949415,2930.000000,-0.065522,0.051089,11.022070,pi+,195.130548,Solenoid_1_FieldVolume
-175.442072,-168.798593,6810.000000,-0.148032,-0.142427,4.723744,pi+,193.510828,Solenoid_1_FieldVolume
-167.331885,-109.675287,10210.000000,-0.094193,-0.061738,3.149163,mu+,152.958566,Solenoid_1_FieldVolume
-271.572135,158.865765,14090.000000,-0.152871,0.089428,3.149163,mu+,151.494504,Solenoid_1_FieldVolume
-59.901075,-29.996141,-470.000000,-0.219174,-0.109754,20.469558,pi+,343.384066,Solenoid_1_FieldVolume
-52.927323,-6.163749,3780.000000,-0.089380,-0.010409,9.447488,pi+,342.491558,Solenoid_1_FieldVolume
-142.153370,-10.272629,6810.000000,-0.119944,-0.008668,4.723744,mu+,308.483031,Solenoid_1_FieldVolume
-197.013084,-98.931362,10645.500000,-0.110822,-0.055650,3.149163,mu+,307.826957,Solenoid_1_FieldVolume
-325.324172,-71.260565,14940.000000,-0.183129,-0.040113,3.149163,mu+,307.108606,Solenoid_1_FieldVolume
-145.970465,-33.975470,2930.000000,-0.287385,-0.066891,11.022070,pi+,368.802373,Solenoid_1_FieldVolume
-299.207500,-0.974926,6810.000000,-0.252461,-0.000823,4.723744,pi+,368.043648,Solenoid_1_FieldVolume
-518.075427,-80.915481,10645.500000,-0.291423,-0.045516,3.149163,pi+,367.120137,Solenoid_1_FieldVolume
78.807224,2.584996,1230.000000,0.288350,0.009458,20.469558,pi-,686.490213,Solenoid_1_FieldVolume
-2.263970,-217.681970,5110.500000,-0.003186,-0.306340,7.872907,pi-,685.566938,Solenoid_1_FieldVolume
128.616894,-189.659012,8510.000000,0.072400,-0.106761,3.149163,mu-,427.768901,Solenoid_1_FieldVolume
244.132658,-61.237320,12390.000000,0.137425,-0.034471,3.149163,mu-,426.962563,Solenoid_1_FieldVolume
147.980211,-303.476096,16640.000000,0.083300,-0.170831,3.149163,mu-,426.213288,Solenoid_1_FieldVolume
249.587268,-32.287518,2080.000000,0.702479,-0.090875,15.745814,pi+,2074.614662,Solenoid_1_FieldVolume
432.825119,527.364512,5960.000000,0.365203,0.444973,4.723744,pi+,2073.811764,Solenoid_1_FieldVolume
-175.856567,-245.860266,380.000000,-0.643447,-0.899586,20.469558,pi+,556.915441,Solenoid_1_FieldVolume
-374.126151,-344.940832,4215.500000,-0.526125,-0.485083,7.872907,pi+,555.958848,Solenoid_1_FieldVolume
-325.095739,-105.273572,8024.249391,0.000000,0.000000,3.149163,pi+,505.473579,Solenoid_1_FieldVolume
14.305413,49.284787,2930.000000,0.028164,0.097031,11.022070,pi-,797.289599,Solenoid_1_FieldVolume
35.791632,34.052910,6810.000000,0.030200,0.028733,4.723744,pi-,796.647360,Solenoid_1_FieldVolume
-8.697041,-5.266179,10645.500000,-0.004892,-0.002962,3.149163,pi-,795.915913,Solenoid_1_FieldVolume
-14.227635,51.186887,14940.000000,-0.008009,0.028814,3.149163,pi-,795.214028,Solenoid_1_FieldVolume
-27.687768,74.722325,-470.000000,-0.101308,0.273404,20.469558,pi-,618.049861,Solenoid_1_FieldVolume
-12.009643,192.764301,3780.000000,-0.020281,0.325529,9.447488,pi-,617.046802,Solenoid_1_FieldVolume
328.513666,111.863160,7660.000000,0.277189,0.094386,4.723744,pi-,615.775489,Solenoid_1_FieldVolume
151.957407,-397.940059,2579.896749,-0.000000,0.000000,11.022070,pi+,278.099896,Solenoid_1_FieldVolume
-19.459248,51.364530,2080.000000,-0.054769,0.144569,15.745814,pi-,902.694966,Solenoid_1_FieldVolume
6.264104,-52.395910,5110.500000,0.008815,-0.073736,7.872907,mu-,643.516822,Solenoid_1_FieldVolume
84.652612,49.040204,8939.573441,-0.000000,-0.000000,3.149163,mu-,642.756828,Solenoid_1_FieldVolume
-75.799263,-113.164967,12390.000000,-0.042668,-0.063702,3.149163,mu-,639.956470,Solenoid_1_FieldVolume
-75.533966,-112.730533,16640.000000,-0.042519,-0.063457,3.149163,mu-,639.166946,Solenoid_1_FieldVolume
-14.026673,103.222778,380.000000,-0.051323,0.377685,20.469558,pi+,1118.252542,Solenoid_1_FieldVolume
85.001477,29.999691,4215.500000,0.119536,0.042188,7.872907,pi+,1117.378130,Solenoid_1_FieldVolume
66.546722,186.348500,8510.000000,0.037460,0.104898,3.149163,pi+,1116.642952,Solenoid_1_FieldVolume
-225.789076,-460.735471,12390.000000,-0.127100,-0.259354,3.149163,pi+,1115.992333,Solenoid_1_FieldVolume
55.449833,43.965119,16640.000000,0.031213,0.024749,3.149163,pi+,1114.991057,Solenoid_1_FieldVolume
84.651970,211.263274,1991.729159,-0.000000,-0.000000,15.745814,pi+,458.977831,Solenoid_1_FieldVolume
-113.064820,-191.400797,5110.500000,-0.159114,-0.269355,7.872907,mu+,371.279780,Solenoid_1_FieldVolume
90.109564,-167.947540,9360.000000,0.050724,-0.094540,3.149163,mu+,369.975387,Solenoid_1_FieldVolume
368.843421,230.018630,13240.000000,0.207627,0.129480,3.149163,mu+,368.822341,Solenoid_1_FieldVolume
27.732271,-178.446580,17490.000000,0.015611,-0.100450,3.149163,mu+,367.826817,Solenoid_1_FieldVolume
-25.597905,-104.032093,1230.000000,-0.093661,-0.380647,20.469558,pi-,468.333127,Solenoid_1_FieldVolume
-128.702795,-371.517969,5110.500000,-0.181121,-0.522831,7.872907,pi-,467.407494,Solenoid_1_FieldVolume
-124.976413,-498.108662,9360.000000,-0.070351,-0.280392,3.149163,pi-,466.630736,Solenoid_1_FieldVolume
-23.895077,699.592042,14708.070040,0.000000,-0.000000,3.149163,pi+,310.566947,Solenoid_1_FieldVolume
79.876659,82.564022,1230.000000,0.292263,0.302096,20.469558,pi+,1025.714158,Solenoid_1_FieldVolume
250.199721,320.180526,5110.500000,0.352102,0.450584,7.872907,pi+,1024.772089,Solenoid_1_FieldVolume
67.852530,499.179454,9360.000000,0.038195,0.280995,3.149163,pi+,1023.898047,Solenoid_1_FieldVolume
-80.160392,20.994806,2080.000000,-0.225617,0.059091,15.745814,pi-,1260.958312,Solenoid_1_FieldVolume
-183.564637,40.024630,5960.000000,-0.154886,0.033771,4.723744,pi-,1260.192352,Solenoid_1_FieldVolume
58.312707,48.314596,10210.000000,0.032825,0.027197,3.149163,pi-,1259.241281,Solenoid_1_FieldVolume
-234.021812,157.808772,14090.000000,-0.131734,0.088833,3.149163,pi-,1258.413804,Solenoid_1_FieldVolume
-63.414263,-91.706435,1230.000000,-0.232029,-0.335548,20.469558,pi+,1089.858599,Solenoid_1_FieldVolume
157.975663,1.575234,5110.500000,0.222316,0.002217,7.872907,pi+,1089.103414,Solenoid_1_FieldVolume
-28.697077,204.684901,9360.000000,-0.016154,0.115220,3.149163,pi+,1086.683093,Solenoid_1_FieldVolume
322.614496,-427.584119,13240.000000,0.181604,-0.240693,3.149163,pi+,1085.734260,Solenoid_1_FieldVolume
212.558601,131.894908,17490.000000,0.119652,0.074245,3.149163,pi+,1085.045359,Solenoid_1_FieldVolume
-37.339220,-585.612772,2930.000000,-0.073513,-1.152948,11.022070,pi-,371.119036,Solenoid_1_FieldVolume
335.635780,219.042300,5960.000000,0.283198,0.184821,4.723744,mu-,316.453713,Solenoid_1_FieldVolume
137.449992,577.930668,10210.000000,0.077372,0.325325,3.149163,mu-,315.152622,Solenoid_1_FieldVolume
122.925407,569.000876,2930.000000,0.242014,1.120242,11.022070,pi+,219.212710,Solenoid_1_FieldVolume
-232.583709,-47.013283,5960.000000,-0.196246,-0.039668,4.723744,mu+,145.901745,Solenoid_1_FieldVolume
-21.625207,72.131371,380.000000,-0.079125,0.263924,20.469558,pi+,1591.711454,Solenoid_1_FieldVolume
-285.066888,71.068029,4215.500000,-0.400883,0.099941,7.872907,pi+,1590.094603,Solenoid_1_FieldVolume
323.702029,-130.114898,8510.000000,0.182216,-0.073243,3.149163,pi+,1589.435693,Solenoid_1_FieldVolume
-664.920173,-218.817650,12199.090473,0.000000,0.000000,3.149163,pi+,1588.752809,Solenoid_1_FieldVolume
-172.926799,-137.306193,2930.000000,-0.340456,-0.270327,11.022070,pi+,977.049085,Solenoid_1_FieldVolume
-229.370988,137.436402,6810.000000,-0.193536,0.115964,4.723744,pi+,976.312757,Solenoid_1_FieldVolume
48.134993,74.132222,1230.000000,0.176123,0.271245,20.469558,mu+,546.141462,Solenoid_1_FieldVolume
38.922157,-166.659225,5110.500000,0.054774,-0.234537,7.872907,mu+,545.343451,Solenoid_1_FieldVolume
178.722533,114.432222,9360.000000,0.100605,0.064415,3.149163,mu+,544.719334,Solenoid_1_FieldVolume
20.507395,96.421608,13240.000000,0.011544,0.054277,3.149163,mu+,544.004245,Solenoid_1_FieldVolume
104.160648,-95.193988,17490.000000,0.058633,-0.053586,3.149163,mu+,542.891646,Solenoid_1_FieldVolume
47.750101,65.880531,380.000000,0.174714,0.241052,20.469558,pi-,385.364101,Solenoid_1_FieldVolume
188.506868,117.581873,4215.500000,0.265093,0.165353,7.872907,pi-,383.474894,Solenoid_1_FieldVolume
1.131582,38.413400,2080.000000,0.003185,0.108117,15.745814,pi+,900.197506,Solenoid_1_FieldVolume
-106.602218,190.039436,5960.000000,-0.089947,0.160349,4.723744,pi+,898.094379,Solenoid_1_FieldVolume
-254.756560,156.574835,10210.000000,-0.143406,0.088138,3.149163,pi+,897.259739,Solenoid_1_FieldVolume
75.293766,107.818544,14090.000000,0.042384,0.060692,3.149163,pi+,896.302216,Solenoid_1_FieldVolume
-36.708768,81.429258,-470.000000,-0.134315,0.297944,20.469558,pi-,469.129114,Solenoid_1_FieldVolume
-108.508465,82.360075,3780.000000,-0.183242,0.139085,9.447488,pi-,468.298419,Solenoid_1_FieldVolume
0.200134,-242.864891,7660.000000,0.000169,-0.204921,4.723744,pi-,467.509292,Solenoid_1_FieldVolume
622.406463,-320.328261,11284.865488,-0.000000,0.000000,3.149163,pi-,466.582617,Solenoid_1_FieldVolume
84.263357,-61.224635,380.000000,0.308314,-0.224017,20.469558,pi+,449.785908,Solenoid_1_FieldVolume
-4.555782,-153.399364,4215.500000,-0.006407,-0.215722,7.872907,pi+,448.589153,Solenoid_1_FieldVolume
-143.540485,-160.285946,7743.272418,0.000000,0.000000,3.149163,pi+,447.809935,Solenoid_1_FieldVolume
-102.019225,315.614408,11540.500000,-0.057428,0.177663,3.149163,mu+,368.397568,Solenoid_1_FieldVolume
-174.276428,291.237561,15790.000000,-0.098102,0.163941,3.149163,mu+,367.607312,Solenoid_1_FieldVolume
-160.910040,-116.737307,2930.000000,-0.316798,-0.229831,11.022070,pi+,410.021828,Solenoid_1_FieldVolume
75.387860,453.323369,5960.000000,0.063610,0.382499,4.723744,mu+,339.191871,Solenoid_1_FieldVolume
-149.007083,191.987641,10210.000000,-0.083878,0.108072,3.149163,mu+,338.067643,Solenoid_1_FieldVolume
148.216037,175.968843,1230.000000,0.542313,0.643858,20.469558,pi-,401.868329,Solenoid_1_FieldVolume
308.243053,79.077286,5110.500000,0.433785,0.111284,7.872907,pi-,400.978233,Solenoid_1_FieldVolume
61.283901,142.037213,9360.000000,0.034497,0.079955,3.149163,pi-,400.088325,Solenoid_1_FieldVolume
362.785615,216.608032,13240.000000,0.204217,0.121931,3.149163,pi-,399.334271,Solenoid_1_FieldVolume
220.231928,138.753035,17490.000000,0.123971,0.078106,3.149163,pi-,398.300031,Solenoid_1_FieldVolume
