X_mm,Y_mm,Z_mm,Bx_Tesla,By_Tesla,Bz_Tesla,Particle,Volume
-156.1398,820.2715,-652.8723,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
49.8892,73.3796,1601.7716,0.00000000,0.00000000,16.66482426,N15,Solenoid_1_FieldVolume
49.2680,74.1119,1602.0467,0.00000000,0.00000000,16.66482426,N15,Solenoid_1_FieldVolume
-737.2700,195.5006,2585.0896,0.00000000,0.00000000,11.10988284,gamma,Solenoid_1_FieldVolume
192.7306,73.3808,1780.0000,0.00000000,0.00000000,16.66482426,proton,Solenoid_1_FieldVolume
-311.3749,-401.9181,1780.0000,0.00000000,0.00000000,16.66482426,gamma,Solenoid_1_FieldVolume
255.8221,-118.0979,3480.0000,0.00000000,0.00000000,7.40658856,gamma,Solenoid_1_FieldVolume
589.7959,-293.6619,7860.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
3.7552,2.1342,2630.0000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
11.9621,-1.2484,7010.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
17.0467,-6.8246,10845.5000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
22.0193,-15.8024,15640.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-0.5753,0.7140,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
1.7685,6.9859,5310.5000,0.00000000,0.00000000,9.25823570,proton,Solenoid_1_FieldVolume
7.2619,10.5490,9560.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
13.1871,13.7911,13940.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
19.1446,15.4600,18190.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
2.0010,-7.3804,3480.0000,0.00000000,0.00000000,7.40658856,proton,Solenoid_1_FieldVolume
-3.4857,-14.5723,7860.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
-11.2799,-19.2861,12240.5000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-20.1594,-22.2020,16490.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-5.3091,-12.1463,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
-101.0177,-21.8655,5310.5000,0.00000000,0.00000000,9.25823570,proton,Solenoid_1_FieldVolume
-182.3123,33.5852,9560.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-247.4364,113.1859,13940.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-290.4685,204.0578,18190.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-333.8591,-321.6904,100.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-688.8954,-157.7605,930.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
417.2008,444.1465,100.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-330.4374,329.3632,-750.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
351.3613,-121.2921,930.0000,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
84.8089,113.5452,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
515.6622,656.7477,501.8632,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-437.6107,711.1412,-725.8199,0.00000000,0.00000000,24.07141282,anti_nu_mu,Solenoid_1_FieldVolume
-7.1637,28.3568,930.0000,0.00000000,0.00000000,24.07141282,e+,Solenoid_1_FieldVolume
-77.4670,-179.7398,5310.5000,0.00000000,0.00000000,9.25823570,e+,Solenoid_1_FieldVolume
-151.2200,-331.3205,9560.0000,0.00000000,0.00000000,1.85164714,e+,Solenoid_1_FieldVolume
-248.3609,-434.9293,13090.0000,0.00000000,0.00000000,1.85164714,e+,Solenoid_1_FieldVolume
-140.1033,-342.7531,16490.0000,0.00000000,0.00000000,1.85164714,e+,Solenoid_1_FieldVolume
-251.1804,-447.5435,15640.0000,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-179.6043,-297.2632,10845.5000,0.00000000,0.00000000,3.70329428,e-,Solenoid_1_FieldVolume
4.1393,-373.6076,15640.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-20.4392,35.0342,1780.0000,0.00000000,0.00000000,16.66482426,e-,Solenoid_1_FieldVolume
-155.8012,204.2124,5951.1233,0.00000000,0.00000000,3.70329428,e-,Solenoid_1_FieldVolume
-105.0613,264.9199,9560.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-92.5940,263.3198,13940.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
37.9688,304.3673,18190.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-634.5547,-28.6718,9560.0000,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-37.6463,45.4299,3480.0000,0.00000000,0.00000000,7.40658856,e+,Solenoid_1_FieldVolume
-74.7164,524.8677,7860.0000,0.00000000,0.00000000,3.70329428,e+,Solenoid_1_FieldVolume
-52.0058,32.8260,930.0000,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
487.4435,-197.9477,100.0000,0.00000000,0.00000000,24.07141282,nu_e,Solenoid_1_FieldVolume
-656.5275,355.5120,930.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-469.5098,-690.4966,-394.3394,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
371.7427,205.9897,3915.5000,0.00000000,0.00000000,11.10988284,neutron,Solenoid_1_FieldVolume
280.7021,494.5210,5330.0000,0.00000000,0.00000000,3.70329428,nu_e,Solenoid_1_FieldVolume
38.0989,-720.2430,7093.4225,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-176.2694,-472.1218,7860.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-511.2618,508.7366,6938.1527,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-0.9804,21.1101,7010.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
-335.1728,-22.5757,3500.5000,0.00000000,0.00000000,11.10988284,gamma,Solenoid_1_FieldVolume
-87.7016,-468.5861,6160.0000,0.00000000,0.00000000,3.70329428,gamma,Solenoid_1_FieldVolume
323.8937,632.3789,9722.9729,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
528.8230,357.0551,7860.0000,0.00000000,0.00000000,3.70329428,proton,Solenoid_1_FieldVolume
-32.2650,-42.1875,3480.0000,0.00000000,0.00000000,7.40658856,pi+,Solenoid_1_FieldVolume
65.1932,-7.1103,7860.0000,0.00000000,0.00000000,3.70329428,pi+,Solenoid_1_FieldVolume
-278.1467,39.2811,12240.5000,0.00000000,0.00000000,1.85164714,pi+,Solenoid_1_FieldVolume
-201.5474,187.4447,15640.0000,0.00000000,0.00000000,1.85164714,mu+,Solenoid_1_FieldVolume
-349.4766,298.3911,13940.0000,0.00000000,0.00000000,1.85164714,nu_mu,Solenoid_1_FieldVolume
74.7970,622.2776,-750.0000,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
444.7035,595.2878,930.0000,0.00000000,0.00000000,24.07141282,nu_e,Solenoid_1_FieldVolume
